nokontrak;Merk;ModelName;Tipe;Tahun;Warna;cc;KodeDaerah;BalaiLelang;lokasi;Transmisi;kilometer1;kilometer2;SaleDate;saleprice;grade_overrall_csis;note_csis;Brand_Norm;Model_Norm;Transmission_Norm;Year;CC_Norm;Type_Norm;lelang_price;main_type_Norm;type_tags_Norm
1000006404004;TOYOTA;ALL NEW INNOVA;ALL NEW INNOVA 2.4 G A/T DIESEL;2024;ATTITUDE BLACK MICA;2400;T;JBA JAKARTA;JAKARTA;AUTOMATIC;24635;<30k;2025-07-22;350000000;VERY_GOOD;bmpr dpn brt pnyk, kap msn brt, body kanan&kiri brt, bagasi brt, atap brt, bmpr blkg brt|;toyota;innova;automatic;2024;2.4;all new g a t diesel;350000000;G;
1000006479001;HONDA;MOBILIO;MOBILIO E CVT;2017;ABU ABU BAJA METALIK;1500;T;IBID PADANG;PADANG;AUTOMATIC;180949;>100k;2025-08-02;93500000;GOOD;Nopol yang terpasang palsu B 2771 UFK, Spakbor gores, lecet, penyok, Bemper lecet, penyok, catvl retak² dan terkelupas, renggang, Bagasi penyok, lecet, cat retak² dan terkelupas, Pintu penyok, gores, lecet, cat terkelupas, Dop spion lecet, cat |terkelupas, Kap mesin cat retak, lecet, penyok, List bawah penyok, cat terkelupas, List atas penyok, lecet, Atap gores, Sarung jok kursi depan robek;honda;mobilio;automatic;2017;1.5;e cvt;93500000;E;cvt
1000008481001;DATSUN;ALL NEW DATSUN;ALL NEW DATSUN GO 1.2 D MT;2019;MERAH METALIK;1200;T;JBA BANDUNG;BANDUNG;MANUAL;52562;30k-60k;2025-11-11;45000000;GOOD;STNK ada baik, Unit ada baik|body lecet baret ada penyok, spion lecet baret, bemper lecet baret, BAST COPY;datsun;go;manual;2019;1.2;all new d;45000000;D;
1000009526001;HONDA;NEW MOBILIO;NEW MOBILIO S M/T;2021;PUTIH;1500;T;JBA JAKARTA;JAKARTA;MANUAL;66441;60k-100k;2025-03-20;110000000;VERY_GOOD;bodi kanan&kiri baret2, bemper dpn baret2, bemper blkg baret, bagasi baret2&penyok, spion baret2, atap baret2, kap msn baret2, brg2 kons tdk ada|;honda;mobilio;manual;2021;1.5;new s m t;110000000;S;
1000010458001;SUZUKI;NEW CARRY;NEW CARRY PU FD;2022;HITAM;1500;T;OTOLINK JAKARTA;JAKARTA;MANUAL;73881;60k-100k;2025-05-14;72000000;GOOD;pintu kanan baret2&penyok, pintu kiri baret2, bemper dpn baret2, spion baret2, atap baret2, bodi dpn baret2, bak baret2, brg2 kosn tdk ada|;suzuki;carry;manual;2022;1.5;new pu fd;72000000;Pick Up;flat deck
1000010781001;HONDA;ALL NEW BRV;ALL NEW BRV PRESTIGE CVT;2022;PREMIUM OPAL WHITE SILVER PEAR;1500;T;JBA BANDUNG;BANDUNG;AUTOMATIC;28413;<30k;2026-02-10;185000000;GOOD;unit ada baik , stnk ada|body lecet baret , bemper lecet baret , spion lecet baret ;honda;br v;automatic;2022;1.5;all new prestige cvt;185000000;;cvt, prestige
1000010797001;SUZUKI;XL 7;XL - 7 ZETA AT;2022;HITAM METALIK;1500;T;TRIBIK JAKARTA;JAKARTA;AUTOMATIC;48080;30k-60k;2025-10-15;149000000;VERY_GOOD;bodi kanan baret2, bodi kiri baret2&penyok, bemper dpn baret2&penyok, bemper blkg baret2, bagasi baret2, kap msn baret2, spion baret2|;suzuki;xl 7;automatic;2022;1.5;zeta;149000000;zeta;
1000011105001;DAIHATSU;ALL NEW TERIOS;ALL NEW TERIOS X AT DLX IDS;2023;PUTIH;1500;T;JBA JAKARTA;JAKARTA;AUTOMATIC;47722;30k-60k;2025-04-10;188000000;VERY_GOOD;bmpr dpn brt pnyk, bmpr blkg brt, body kanan&kiri brt, kap msn brt, atap brt, bagasi brt, spion brt|;daihatsu;terios;automatic;2023;1.5;all new x dlx ids;188000000;X;ids
1000011144001;DAIHATSU;ALL NEW XENIA;ALL NEW XENIA 1.3 X M/T;2023;ABU ABU METALIK;1300;T;JBA JAKARTA;JAKARTA;MANUAL;112535;>100k;2025-06-24;112000000;VERY_GOOD;body kanan brt, body kiri brt pnyk, bmpr dpn&blkg brt pnyk, kap msn brt, atap brt, bagasi brt, spion brt ex lelang alto|;daihatsu;xenia;manual;2023;1.3;all new x m t;112000000;X;
1000011166001;DAIHATSU;SIGRA;SIGRA 1.0 M MT MC;2023;COKLAT METALIK;1000;T;IBID JAKARTA;JAKARTA;MANUAL;13340;<30k;2025-05-14;96000000;VERY_GOOD;bodi kanan&kiri baret2, bemper dpn&blkg baret2, atap baret2, spion baret2, kap msn baret2, bagasi baret2, brg2 kosn tdk ada|;daihatsu;sigra;manual;2023;1;m mc;96000000;M;
1000011200001;DAIHATSU;SIGRA;SIGRA 1.2 R AT;2023;ROCK GREY METALLIC DSO;1200;B;HYBID JAKARTA;JAKARTA;AUTOMATIC;49489;30k-60k;2025-11-29;96000000;GOOD;bodi kanan baret2, bodi kiri baret2&peyok bemper dpn&blkg baret2&pnyok, spion baret2, bagasi baret2, atap baret2, kap msn baret2 ex JBA|jok blkg copot, cover pintu kiri blkg copot;daihatsu;sigra;automatic;2023;1.2;r;96000000;R;
1000011244001;DAIHATSU;SIGRA;SIGRA 1.0 M MT MC;2023;COKLAT METALIK;1000;T;TRIBIK JAKARTA;JAKARTA;MANUAL;24784;<30k;2025-03-28;98000000;VERY_GOOD;bodi kanan&kiri baret2, bemper dpn&blkg baret2, bagasi baret2, atap baret2, spion baret2, atap baret2, brg2 kosn tdk ada|;daihatsu;sigra;manual;2023;1;m mc;96000000;M;
1000011604001;TOYOTA;ALL NEW AGYA;ALL NEW AGYA 1.2 G CVT;2023;YELLOW;1200;T;TRIBIK JAKARTA;JAKARTA;AUTOMATIC;13886;<30k;2025-05-23;129500000;GOOD;bodi kanan baret2, bodi kiri baret2&penyok, bemper dpn&blkg baret2, bagasi baret2, kap msn baret2, atap baret2, spion baret2, brg2 kosn tdk ada|;toyota;agya;automatic;2023;1.2;all new g cvt;129500000;G;cvt
1000011644001;TOYOTA;CALYA;CALYA 1.2 G AT;2024;BRONZE M M;1197;B;ALTO JAKARTA;JAKARTA;AUTOMATIC;11454;<30k;2025-05-08;126500000;VERY_GOOD;bodo kanan baret2, bodi kiri baret2&penyok, bemper dpn&blkg baret2, bagasi baret2, kap msn baret2, atap baret2, spion baret2, brg2 kosn tdk ada|;toyota;calya;automatic;2024;1.2;g;126500000;G;
1000011771001;DAIHATSU;ALL NEW XENIA;ALL NEW XENIA 1.3 R MT ADS;2023;WHITE DSO;1300;T;ALTO JAKARTA;JAKARTA;MANUAL;6282;<30k;2025-09-04;170000000;VERY_GOOD;bodi kanan&kiri baret2, bemper dpn&blkg baret2, bagasi baret2, kap msn baret2, spion baret2, atap baret2, brg2 kosn tdk ada|;daihatsu;xenia;manual;2023;1.3;all new r ads;170000000;R;ads
1000012057001;TOYOTA;ALL NEW AVANZA;ALL NEW AVANZA 1.3 E M/T;2024;WHITE;1300;T;JBA JAKARTA;JAKARTA;MANUAL;69404;60k-100k;2025-10-30;147000000;VERY_GOOD;bodi kanan&kiri baret2, bemper dpn&blkg baret2, bagasi baret2, kap msn baret2, atap baret2, spion baret2, brg2 kosn tdk ada 2 kunci lain2|;toyota;avanza;manual;2024;1.3;all new e m t;147000000;E;
1000012327001;HONDA;ALL NEW BRIO;ALL NEW BRIO SATYA E MT;2024;METEOROID GRAY METALLIC;1200;T;TRIBIK BANDUNG;BANDUNG;MANUAL;6378;<30k;2025-11-05;135500000;GOOD;unit ada baik , stnk ada |spion lecet halus , bemper lecet halus , body lecet halus ;honda;brio;manual;2024;1.2;all new satya e;135500000;E;satya
1000007986001;HONDA;MOBILIO;MOBILIO E CVT;2018;HITAM MUTIARA;1500;T;IBID SAMARINDA;SAMARINDA;AUTOMATIC;112829;>100k;2025-06-19;98000000;GOOD;nopol palsu kt 1950 vz|;honda;mobilio;automatic;2017;1.5;e cvt;93500000;E;cvt
1000008166001;HONDA;ALL NEW BRIO;ALL NEW BRIO E MT;2019;MERAH;1200;T;TRIBIK JAKARTA;JAKARTA;MANUAL;74055;60k-100k;2025-09-06;103000000;GOOD;body kanan&kiri brt, bmpr dpn&blkg brt, atap brt, bagasi brt, kap msn brt, spion brt|;honda;brio;manual;2019;1.2;all new e;103000000;E;
1000008520001;HONDA;MOBILIO;MOBILIO 1.5 E CVT;2019;MERAH TUA METALIK;1500;T;OTOLINK JAKARTA;JAKARTA;AUTOMATIC;100646;>100k;2026-08-05;91500000;GOOD;nopol palsu B 2137 HFH, , bmpr dpn&blkg brt pnyk, body kanan&kiri brt pnyk, atap brt, kap msn brt, bagasi brt, spion brt, kunci lain2|;honda;mobilio;automatic;2019;1.5;e cvt;91500000;E;cvt
1000008613003;HONDA;ALL NEW BRIO;ALL NEW BRIO SATYA E MT;2019;PUTIH;1200;T;TRIBIK JAKARTA;JAKARTA;MANUAL;119718;>100k;2025-10-17;90000000;GOOD;nopol palsu D 1070 AIE, nopol asli T 1020 GO, bmpr dpn brt, bmpr blkg brt pnyk, body kanan&kiri brt pnyk, kap msn brt, atap brt, bagasi brt pnyk, spion brt|;honda;brio;manual;2024;1.2;all new satya e;135500000;E;satya
1000010197001;TOYOTA;AGYA;AGYA 1.2 G A/T GR SPORT;2022;MERAH;1200;T;ALTO JAKARTA;JAKARTA;AUTOMATIC;31200;30k-60k;2025-06-05;114000000;VERY_GOOD;bodi kanan&kiri baret2, bemper dpn baret2&penyok, bemper blkg barer2, bagasi baret2, kap msn baret2, atap brg2 kons tdk ada|;toyota;agya;automatic;2022;1.2;g a t gr sport;114000000;gr sport;
1000010292001;HONDA;BRIO;BRIO SATYA E CVT;2022;MERAH;1200;T;ALTO JAKARTA;JAKARTA;AUTOMATIC;64513;60k-100k;2025-10-16;115000000;VERY_GOOD;bodi kanan&kiri barer2, bemper dpn&blkg baret2, bagasi baret2, kap msn baret2, spion baret2, atap baret2, brg2 kons tdk ada|;honda;brio;automatic;2022;1.2;satya e cvt;115000000;E;cvt, satya
1000010425001;HONDA;ALL NEW BRV;ALL NEW BRV PRESTIGE CVT;2022;PUTIH MUTIARA;1500;T;JBA SEMARANG;SEMARANG;AUTOMATIC;69296;60k-100k;2025-08-21;169500000;GOOD;body lecet nopol tidak ada, asli T 1334 NR|;honda;br v;automatic;2022;1.5;all new prestige cvt;185000000;;cvt, prestige
1000010503001;HONDA;BRIO;BRIO SATYA E M/T;2022;HITAM MUTIARA;1200;T;TRIBIK PANGKAL PINANG;PINANG;MANUAL;43491;30k-60k;2026-06-05;105000000;GOOD;Kendaraan Sesuai BASTK|Bamper depan barat kasar, body kanan baret kasar, body kiri baret halus, spoiler lampu belakang tidak ada;honda;brio;manual;2022;1.2;satya e m t;105000000;E;satya
1000010764001;HONDA;ALL NEW BRV;ALL NEW BRV E CVT;2022;HITAM MUTIARA;1500;T;TRIBIK JAKARTA;JAKARTA;AUTOMATIC;49313;30k-60k;2025-11-11;155000000;VERY_GOOD;bodi kanan&kiri baret2, bemper dpn&blkg baret2, bagasi baret2, kap msn baret2, atap baret2, spion baret2|;honda;br v;automatic;2022;1.5;all new e cvt;155000000;E;cvt
1000010890001;TOYOTA;CALYA;CALYA 1.2 E M/T;2022;PUTIH;1197;T;OTOLINK JAKARTA;JAKARTA;MANUAL;70651;60k-100k;2025-08-05;85500000;VERY_GOOD;bmpr dpn brt pnyk, bmpr blkg brt, body kanan&kiri brt pnyk, atap brt, spion brt, kap msn brt, bagasi brt pnyk, kunci lain2|;toyota;calya;manual;2022;1.2;e m t;85500000;E;
1000011087001;TOYOTA;CALYA;CALYA 1.2 G MT;2023;BRONZE M M;1200;T;JBA JAKARTA;JAKARTA;MANUAL;175418;>100k;2025-03-20;80500000;BAD;kaca dpn retak, bodi kanan baret2&penyok, bodi kiri baret2, bemper dpn&blkg baret2, bagasi baret2, kap msn baret2, atap baret2, spion baret2, brg2 kosn tdk ada|;toyota;calya;manual;2023;1.2;g;80500000;G;
1000011176001;TOYOTA;CALYA;CALYA 1.2 G AT;2023;BLACK;1197;T;OTOLINK JAKARTA;JAKARTA;AUTOMATIC;32282;30k-60k;2025-07-11;113000000;GOOD;bodi kanan&kiri baret2, bemper dpn baret2&penyok, bemper blkg baret2, bagasi baret2, kap msn baret2, atap baret2, spion baret2, brg2 kosn tdk ada|;toyota;calya;automatic;2024;1.2;g;126500000;G;
1000011267001;TOYOTA;AGYA;AGYA 1.2 G M/T;2023;RED MICA METALLIC;1198;T;TRIBIK JAKARTA;JAKARTA;MANUAL;10056;<30k;2026-07-17;115000000;VERY_GOOD;body kanan&kiri brt, bmpr dpn&blkg brt, atap brt, bagasi brt, kap msn brt, spion brt|;toyota;agya;manual;2023;1.2;g m t;115000000;G;
1000011308001;TOYOTA;CALYA;CALYA 1.2 G MT;2023;GREY METALLIC;1200;T;JBA BANDUNG;BANDUNG;MANUAL;23500;<30k;2025-10-09;92000000;GOOD;unit ada baik , stnk ada |spion lecet halus , bemper lecet halus , body lecet halus , BAST COPY , knalpot bocor ;toyota;calya;manual;2023;1.2;g;80500000;G;
1000011378001;HONDA;ALL NEW BRV;ALL NEW BRV PRESTIGE CVT;2023;METEOROID GRAY METALLIC;1500;T;IBID JAKARTA;JAKARTA;AUTOMATIC;51416;30k-60k;2025-11-29;190500000;VERY_GOOD;bodi kanan&kiri baret2, bemper dpn&blkg baret2, bagasi baret2, kap msn baret2, atap baret2, spion baret2|;honda;br v;automatic;2022;1.5;all new prestige cvt;185000000;;cvt, prestige
1000011834001;TOYOTA;RAIZE;RAIZE 1.2 G CVT;2024;BLACK;1198;T;JBA JAKARTA;JAKARTA;AUTOMATIC;17986;<30k;2025-06-05;166000000;VERY_GOOD;bodi kanan&kiri baret2, bemper dpn&blkg baret2, bagasi baret2, kap msn baret2, atap baret2, spion baret2, brg2 kosn tdk ada|;toyota;raize;automatic;2024;1.2;g cvt;166000000;G;cvt
1000011901001;TOYOTA;ALL NEW VELOZ;ALL NEW VELOZ 1.5 Q CVT;2024;PLATINUM WHITE PEARL;1500;B;JBA JAKARTA;JAKARTA;AUTOMATIC;26244;<30k;2025-08-19;218000000;VERY_GOOD;body kanan&kiri brt, bmpr dpn&blkg brt, atap brt, bagasi brt, kap msn brt, spion brt|;toyota;veloz;automatic;2024;1.5;all new q cvt;218000000;Q;cvt
1000012153001;DAIHATSU;ALL NEW AYLA;ALL NEW ASTRADAIHATSU AYLA 1.0 M MT;2024;WHITE DSO;1000;T;TRIBIK JAKARTA;JAKARTA;MANUAL;1;<30k;2026-04-30;83000000;BAD;unit derek mati total, body kanan&kiri brt pnyk, bmpr dpn&blkg brt pnyk, atap brt, bagasi brt, kap msn brt, spion brt|;daihatsu;ayla;manual;2024;1;all new astradaihatsu m;83000000;M;
1000012208001;MITSUBISHI;XPANDER;XPANDER EXCEED CVT;2024;PUTIH PERMATA;1500;T;TRIBIK JAKARTA;JAKARTA;AUTOMATIC;20603;<30k;2026-02-24;205000000;VERY_GOOD;body kanan brt pnyk, body kiri brt, atap brt, bagasi brt pnyk, kap msn brt, spion brt, bmpr dpn&blkg brt pnyk|;mitsubishi;xpander;automatic;2024;1.5;exceed cvt;205000000;exceed;cvt
1000006558001;HONDA;MOBILIO;MOBILIO E M/T;2017;PUTIH;1500;T;JBA PALEMBANG;PALEMBANG;MANUAL;101184;>100k;2026-02-03;77000000;VERY_GOOD;tidak ada barang konsumen|bemper depan pecah dan renggang,bemper belakang baret,pintu baret,kap mesin baret,bagasi belakang penyok,spakbor depan dan belakang baret,spion baret;honda;mobilio;manual;2017;1.5;e m t;77000000;E;
1000008320003;SUZUKI;ALL NEW ERTIGA;ALL NEW ERTIGA GX MT;2019;MERAH METALIK;1400;T;JBA Purwokerto;Purwokerto;MANUAL;79770;60k-100k;2025-10-30;105000000;VERY_GOOD;suemrat kuasa, surat tugas, BAST NO 1380525, KUNCI 1, Plat nomor B 1350 FIK Yang terpasang palsu  plat nomor asli T 1688 GI|pintu kiri belakang baret, bamper depan kiri kanan baret, body kanan lecet2 ;suzuki;ertiga;manual;2019;1.4;all new gx;105000000;gx;
1000008562001;HONDA;BRV;BRV 1.5 E CVT;2019;MERAH TUA METALIK;1500;T;HYBID JAKARTA;JAKARTA;AUTOMATIC;60117;60k-100k;2025-07-02;133000000;VERY_GOOD;unit nopol palsu B 191 EOH, bodi kanan&kiri baret2, bemper dpn&blkg baret2, bagasi baret2&penyok, spion baret2, atap baret2, kap msn baret2, brg2 kons tdk ada|;honda;br v;automatic;2019;1.5;e cvt;133000000;E;cvt
1000009433001;HONDA;ALL NEW BRIO;ALL NEW BRIO SATYA S M/T;2021;PUTIH;1200;F;IBID SAMARINDA;SAMARINDA;MANUAL;175281;>100k;2026-02-05;89500000;GOOD;OK TIDAK ADA PLAT|BODY LECET;honda;brio;manual;2021;1.2;all new satya s m t;89500000;S;satya
1000009655001;TOYOTA;AGYA;AGYA 1.2 GR A/T;2021;PUTIH;1200;T;TRIBIK JAKARTA;JAKARTA;AUTOMATIC;31786;30k-60k;2026-02-06;75000000;GOOD;bmpr dpn brt pnyk, bmpr blkg brt, atap brt, kap msn brt pnyk, spion brt, bagasi brt, spion brt, airbag pecah|;toyota;agya;automatic;2021;1.2;gr a t;75000000;gr;
1000010420001;TOYOTA;CALYA;CALYA 1.2 G AT;2022;MERAH  TUA METALIK;1200;T;JBA JAKARTA;JAKARTA;AUTOMATIC;40685;30k-60k;2025-02-25;126000000;VERY_GOOD;unit nopol palsu T 1568 HY, bodi kanan&kiri baret2, bemper dpn&blkg baret2, kap msn baret2, atap baret2, spion baret2, bagasi baret2, brg2 kons tdk ada|;toyota;calya;automatic;2024;1.2;g;126500000;G;
1000010768001;SUZUKI;XL 7;XL 7 BETA AT;2022;PUTIH METALIK;1500;T;TRIBIK JAKARTA;JAKARTA;AUTOMATIC;35835;30k-60k;2025-03-14;170000000;VERY_GOOD;body kanan brt pnyk, body kiri brt, bmpr dpn brt, body blkg brt pnyk, atap brt, spion brt, kap msn brt, ttp bagasi brt|;suzuki;xl 7;automatic;2022;1.5;beta;170000000;beta;
1000010816001;HONDA;ALL NEW CITY;ALL NEW CITY HATCHBACK RS MT;2022;PUTIH PLATINUM MUTIARA;1500;T;TRIBIK BANDUNG;BANDUNG;MANUAL;16156;<30k;2025-11-05;156500000;GOOD;STNK tidak ada, Unit ada baik|Body lecet baret, Spion Lecet baret, bemper lecet baret, BAST COPY;honda;city;manual;2022;1.5;all new hatchback rs;156500000;RS;hatchback
1000010820001;SUZUKI;ALL NEW ERTIGA;ALL NEW ERTIGA - SMART HYBRID GX AT;2022;ABU ABU METALIK;1500;T;HYBID JAKARTA;JAKARTA;AUTOMATIC;1;<30k;2025-12-17;108000000;BAD;unit derek laka lantas, unit mati total tidak nyala, KM tidak nyala body kanan&kiri brt pnyk, lampu depan pecah, bmpr dpn brt pnyk, bmpr blkg brt, atap brt pnyk, bagasi brt, spion rusak, kaca depan retak|;suzuki;ertiga;automatic;2022;1.5;all new smart gx;108000000;gx;
1000010831001;TOYOTA;ALL NEW AVANZA;ALL NEW AVANZA 1.5 G CVT;2022;PUTIH;1500;T;IBID JAKARTA;JAKARTA;AUTOMATIC;34819;30k-60k;2025-11-05;170500000;VERY_GOOD;bmpr dpn&blkg brt pnyk, body kanan brt pnyk, body kiri brt, atap brt, kap msn brt, bagasi brt pnyk, spion brt|;toyota;avanza;automatic;2022;1.5;all new g cvt;170500000;G;cvt
1000011007001;TOYOTA;AVANZA;AVANZA 1.5 G M/T;2023;HITAM METALIK;1500;T;OTOLINK BANDUNG;BANDUNG;MANUAL;19427;<30k;2025-04-30;147000000;GOOD;Unit baik, stnk ada baik, tidak ada barang konsumen|spion kiri lecet baret, body lecet halus;toyota;avanza;manual;2023;1.5;g m t;147000000;G;
1000011282001;HONDA;BRIO;BRIO SATYA E M/T;2023;RALLYE RED;1200;T;JBA JAKARTA;JAKARTA;MANUAL;1;<30k;2025-10-23;82000000;BAD;mobil laka lantas, bmpr dpn rusak, kap msn brt pnyk, atap brt, bagasi brt pnyk, bmpr blkg brt, body kanan&kiri brt pnyk, kunci lain2|Ban+velg depan kanan ada rusak, Ban Cadangan hanya ada Ban nya saja;honda;brio;manual;2022;1.2;satya e m t;105000000;E;satya
1000011384001;DAIHATSU;ALL NEW AYLA;ALL NEW ASTRADAIHATSU AYLA 1.2 R MT;2023;GLITTERING SILVER DSO;1200;T;OTOLINK JAKARTA;JAKARTA;MANUAL;7708;<30k;2025-05-09;110000000;VERY_GOOD;bodi kanan&kiri baret2, bemper dpn&blkg baret2, bagasi baret2, kap msn baret2, atap baret2, spion baret2, brg2 kosn tdk ada|;daihatsu;ayla;manual;2023;1.2;all new astradaihatsu r;110000000;R;
1000011515001;TOYOTA;ALL NEW AVANZA;ALL NEW AVANZA 1.5 G M/T;2023;HITAM METALIK;1500;T;TRIBIK JAKARTA;JAKARTA;MANUAL;29316;<30k;2025-10-01;147000000;VERY_GOOD;bodi kanan&kiri baret2, bemper dpn&blkg baret2, bagasi baret2, kap msn baret2, atap baret2, spion baret2, brg2 kons tdk ada|;toyota;avanza;manual;2023;1.5;all new g m t;147000000;G;
1000011531001;DAIHATSU;ALL NEW XENIA;ALL NEW XENIA 1.3 X M/T;2023;ROCK GREY METALLIC DSO;1329;T;JBA JAKARTA;JAKARTA;MANUAL;12663;<30k;2025-12-16;154000000;VERY_GOOD;body kanan brt pnyk, body kiri brt, bmpr dpn&blkg brt, atap brt, bagasi brt kap msn brt, spion brt|;daihatsu;xenia;manual;2023;1.3;all new x m t;112000000;X;
1000011851001;SUZUKI;NEW XL-7;NEW XL-7 ALPHA AT HYBRID;2024;COOL BLACK METALLIC;1500;T;TRIBIK JAKARTA;JAKARTA;AUTOMATIC;40030;30k-60k;2026-06-12;215000000;VERY_GOOD;body kanan&kiri brt, bmpr dpn&blkg brt, atap brt, bagasi brt, kap msn brt, spion brt|;suzuki;xl 7;automatic;2024;1.5;new alpha;215000000;alpha;
1000011939001;DAIHATSU;SIGRA;SIGRA 1.2 R MT MC;2024;MERAH METALIK;1200;T;OTOLINK JAKARTA;JAKARTA;MANUAL;27978;<30k;2026-05-12;123000000;VERY_GOOD;body kanan&kiri brt, bmpr dpn&blkg brt, atap brt, bagasi brt, kap msn brt, spion brt|;daihatsu;sigra;manual;2024;1.2;r mc;123000000;R;
1000011955001;HONDA;ALL NEW BRV;ALL NEW BRV PRESTIGE CVT;2023;PREMIUM OPAL WHITE SILVER PEAR;1500;T;HYBID JAKARTA;JAKARTA;AUTOMATIC;16228;<30k;2026-05-23;200000000;VERY_GOOD;Bemper dpn brt pyk Bemper blkg brt Body kr brt pyk  Body kn brt Kap mesin brt Bagasi brt Atap brt Spion kr kn brt |;honda;br v;automatic;2022;1.5;all new prestige cvt;185000000;;cvt, prestige
1000012339001;TOYOTA;ALL NEW AVANZA;ALL NEW AVANZA 1.5 G M/T;2024;BLACK METALLIC;1500;T;HYBID JAKARTA;JAKARTA;MANUAL;6708;<30k;2025-09-24;185000000;VERY_GOOD;bodi kanan&kiri baret2, bemper dpn&blkg barer2, bagasi barer2, kap msn baret2, atap baret2, spion baret2, brg2 kosn tdk ada|;toyota;avanza;manual;2023;1.5;all new g m t;147000000;G;
1000012558001;TOYOTA;RUSH;RUSH 1.5 S A/T GR SPORT;2025;BLACK METALLIC;1500;B;JBA JAKARTA;JAKARTA;AUTOMATIC;12997;<30k;2025-12-16;240000000;VERY_GOOD;bodi kanan&kiri baret2, bemper dpn&blkg baret2, bagasi baret2, kap msn baret2, spion baret2, atap baret2|;toyota;rush;automatic;2025;1.5;s a t gr sport;240000000;gr sport;
1000056419003;HONDA;ALL NEW BRV;ALL NEW BRV 1.5 E CVT;2023;PREMIUM OPAL WHITE SILVER PEAR;1500;T;JBA JAKARTA;JAKARTA;AUTOMATIC;32897;30k-60k;2025-05-27;184500000;VERY_GOOD;body kanan&kiri brt, bmpr dpn&blkg brt, atap brt, kap msn brt pnyk, spion brt, bagasi brt, kunci lain2|;honda;br v;automatic;2023;1.5;all new e cvt;184500000;E;cvt
1000711437001;SUZUKI;XL 7;XL-7 BETA MT HYBRID;2023;SNOW WHITE;1500;T;JBA MEDAN;MEDAN;MANUAL;24661;<30k;2025-07-08;157000000;GOOD;Ada beberapa titik baret pada body mobil |Ada beberapa titik baret pada body mobil, No. Pol. Palsu BK 1070 ADL;suzuki;xl 7;manual;2023;1.5;beta;157000000;beta;
1000711508001;TOYOTA;CALYA;CALYA 1.2 G MT;2023;SILVER METALLIC;1200;T;TRIBIK JAKARTA;JAKARTA;MANUAL;26612;<30k;2025-06-20;115000000;GOOD;body kanan&kiri brt, bmpr dpn&blkg brt pnyk, kap msn brt, bagasi pnyk, atap brt, spion brt|;toyota;calya;manual;2023;1.2;g;80500000;G;
1000711611001;HONDA;BRIO;BRIO SATYA E M/T;2023;ELECTRIC LIME METALLIC;1200;T;ALTO JAKARTA;JAKARTA;MANUAL;16356;<30k;2026-01-08;132000000;VERY_GOOD;bodi kanan baret2&penyok, bodi kiri baret2, bemper dpn&blkg baret2&penyok, spion baret2, atap baret2, kap msn baret2, bagasi baret2|;honda;brio;manual;2022;1.2;satya e m t;105000000;E;satya
1000712001001;HONDA;ALL NEW BRIO;ALL NEW BRIO SATYA E MT;2024;CRYSTAL BLACK PEARL;1200;T;HYBID JAKARTA;JAKARTA;MANUAL;53484;30k-60k;2025-09-10;128000000;VERY_GOOD;body kanan&kiri brt, bmpr dpn&blkg brt, atap brt, bagasi brt, kap msn brt, spion brt|;honda;brio;manual;2024;1.2;all new satya e;135500000;E;satya
1000712209001;TOYOTA;ALL NEW AGYA;ALL NEW AGYA 1.2 G MT;2024;WHITE;1200;T;TRIBIK JAKARTA;JAKARTA;MANUAL;3777;<30k;2025-03-07;138000000;VERY_GOOD;body kanan&kiri brt, bmpr dpn&blkg brt, atap brt, ttp bagasi brt, kap msn brt, spion brt|;toyota;agya;manual;2024;1.2;all new g;138000000;G;
1000712400001;SUZUKI;NEW CARRY;NEW CARRY 03 PU WD AC PS;2024;REAL BLACK;1500;T;OTOLINK JAKARTA;JAKARTA;MANUAL;55097;30k-60k;2026-04-10;108000000;GOOD;pintu kanan&kiri brt pnyk, bmpr dpn brt, grill dpn brt, atap brt, bak blkg brt pnyk, spion brt|;suzuki;carry;manual;2024;1.5;new 03 pu wd ac ps;108000000;Pick Up;ac, ps, wide deck
1001002606003;SUZUKI;ERTIGA;ERTIGA AVI414F TYPE 2 (4X2) A/T;2014;PUTIH METALIK;1400;T;HYBID JAKARTA;JAKARTA;AUTOMATIC;202905;>100k;2026-08-26;58000000;GOOD;#N/A;suzuki;ertiga;automatic;2014;1.4;type 2 4x2 a t;58000000;2;4x2
1001002968001;MITSUBISHI;MIRAGE;MIRAGE 1.2L GLS(4X2) AT;2012;PUTIH MUTIARA;1200;T;JBA SEMARANG;SEMARANG;AUTOMATIC;103714;>100k;2025-06-12;45000000;GOOD;nopol palsi H 1465 AI asli T 1635 AH|;mitsubishi;mirage;automatic;2012;1.2;gls 4x2;45000000;gls;4x2
1001004528001;TOYOTA;AGYA;AGYA 1.0 G M/T;2017;MERAH;1000;T;JBA LAMPUNG;LAMPUNG;MANUAL;110638;>100k;2025-09-11;56000000;GOOD;tidak ada perbedaan ceklist tidak ada barang berharga nopol palsu BE 1340 EH|body lecet halus bemper belakang kanan bawah renggang mika lampu belakang kiri retak bemper depan kiri & kanan renggang;toyota;agya;manual;2017;1;g m t;56000000;G;
