nokontrak;Merk;ModelName;Tipe;Tahun;Warna;cc;KodeDaerah;BalaiLelang;lokasi;Transmisi;kilometer1;kilometer2;SaleDate;saleprice;grade_overrall_csis;note_csis;Brand_Norm;Model_Norm;Transmission_Norm;Year;CC_Norm;Type_Norm;lelang_price;main_type_Norm;type_tags_Norm
9481016940001;SUZUKI;ERTIGA;AVI414F SDX (4X2) M/T;2017;ABU ABU METALIK;1373;L;JBA SURABAYA;SURABAYA;MANUAL;143053;>100k;2026-05-07;124500000;VERY_GOOD;STNK ADA|Baret di bumper depan dan belakang sebelah kanan;suzuki;ertiga;manual;2013;1.4;sdx 4x2 m t;72000000;M;4x2
9481017133001;HONDA;JAZZ;JAZZ GE8 1.5 E MT;2013;MERAH;1496;W;IBID SURABAYA;SURABAYA;MANUAL;55398;30k-60k;2025-03-08;114000000;GOOD;-COVER SPION KANAN RUSAK PECAH  -HEAD UNIT HANYA MENYALA TIDAK ADA SUARA -WIPER BELAKANG TIDAK ADA -SELURUH BODY BARET -TERDAPAT STIKER PADA BODY MOBIL|;honda;jazz;manual;2010;1.5;ge8 e;72000000;E;
9481017218001;DAIHATSU;XENIA;XENIA 1.3 R M/T F653RV GMDFJ;2018;PUTIH;1300;N;JBA SURABAYA;SURABAYA;MANUAL;185407;>100k;2026-01-08;90000000;BAD;tidak ada barang berharga konsumen|pintu penumpang kiri baret;daihatsu;xenia;manual;2016;1.3;r m t f653rv gmdfj;95000000;R;
9481017270001;TOYOTA;FORTUNER;FORTUNER 2.4 VRZ 4X2 A/T;2019;HITAM METALIK;2393;L;IBID SURABAYA;SURABAYA;AUTOMATIC;95085;60k-100k;2025-06-21;370000000;GOOD;-SELURUH BODY BARET -BAMPER DEPAN BELAKANG BARET|;toyota;fortuner;automatic;2016;2.4;vrz 4x2 a t;252500000;A;4x2, vrz
9481017572001;TOYOTA;FORTUNER;FORTUNER 2.4 VRZ 4X2 A/T;2017;HITAM METALIK;2393;S;IBID SURABAYA;SURABAYA;AUTOMATIC;114258;>100k;2025-05-07;300000000;VERY_GOOD;-BAMPER BARET DALAM & RENGGANG -SELURUH BODY BARET -COVER TANGKI BENSIN PENYOK|;toyota;fortuner;automatic;2016;2.4;vrz 4x2 a t;252500000;A;4x2, vrz
9481017615001;MITSUBISHI;PAJERO;PAJERO SPORT 2.4 L DAKAR L 4X2 8AT;2022;HITAM MIKA;2442;L;JBA SURABAYA;SURABAYA;MANUAL;57721;30k-60k;2025-07-01;422000000;GOOD;-BAMPER VARET DALAM, PENYOK & RENGGANG -SELURUH BODY BARET & PENYOK -COVER SPION KIRI PECAH|;mitsubishi;pajero sport;manual;2022;2.4;dakar l 4x2 8at;435500000;dakar;4x2
9481043356001;SUZUKI;SWIFT;SWIFT 1.5 GL 2WD A/T;2006;MERAH METALIK;1490;N;JBA SURABAYA;SURABAYA;AUTOMATIC;193619;>100k;2026-01-08;42500000;GOOD;body cat ulang, velg gantian, plat palsu,knalpot ganti,|pintu bagasi dempul, lampu belakang pecah, bumper kanan depan baret renggang,listplang kiri bawah penyok.;suzuki;swift;automatic;2006;1.5;gl 2wd a t;42500000;gl;2wd
9481065914003;DAIHATSU;XENIA;XENIA 1.3 R M/T F653RV GMDFJ;2018;ABU ABU METALIK;1300;L;IBID SURABAYA;SURABAYA;MANUAL;173391;>100k;2025-11-18;80000000;BAD;-BUMPER BARET DALAM, PENYOK DAN RENGGANG  -SELURUH BODY BARET DAN PENYOK KECIL  -SEMUA BAN PEMAKAIAN TIPIS DAN BOCOR HALUS  -COVER SPION KANAN RETAK  -AC TIDAK DINGIN  -BAN SEREP PECAH-PECAH  -AKI SOAK  -ALARM TIDAK BERFUNGSI  -APAR TIDAK ADA|;daihatsu;xenia;manual;2016;1.3;r m t f653rv gmdfj;95000000;R;
9481070430001;KIA;PICANTO;PICANTO 1.2 M/T;2013;MERAH METALIK;1248;L;OTOLINK Surabaya;Surabaya;MANUAL;171559;>100k;2025-12-24;47500000;GOOD;-SELURUH BODY TERDAPAT BARET  -POWER WINDOW RUSAK PADA BAGIAN KIRI DEPAN BELAKANG TIDAK BERFUNGSI  -BAN SEREP TIDAK ADA  -PINTU BAGASI TERDAPAT PENYOK -MENGGUNAKAN NOPOL PALSU (W 1093 QH) -SPION KANAN RUSAK -APAR TIDAK ADA |;kia;picanto;manual;2013;1.2;m t;47500000;;
9481717373001;HONDA;ACCORD;ACCORD CP2 2.4 VTI L A.T;2012;HITAM MUTIARA;2400;L;JBA SURABAYA;SURABAYA;MANUAL;172072;>100k;2025-11-04;72000000;BAD;-PLAT NOMOR DEPAN BELAKANG TERTUTUP MIKA HITAM  -KESELURUHAN BODY TERDAPAT BARET  -STARTER AWAL MENYALAKAN MESIN TERDENGAR BUNYI KASAR DAN SEDIKIT SULIT DINYALAKAN -BAN SEREP KEMPES -APAR TIDAK ADA -HIDROLIK PINTU BAGASI RUSAK|;honda;accord;manual;2010;2.4;cp2 vti l a t;77500000;A;vtil
