nokontrak,Merk,ModelName,Tipe,Tahun,Warna,cc,KodeDaerah,BalaiLelang,lokasi,Transmisi,kilometer1,kilometer2,SaleDate,saleprice,grade_overrall_csis,note_csis,Brand_Norm,Model_Norm,Transmission_Norm,Year,CC_Norm,Type_Norm,lelang_price,main_type_Norm,type_tags_Norm
"1000006404004,TOYOTA,ALL NEW INNOVA,ALL NEW INNOVA 2.4 G A/T DIESEL,2024,ATTITUDE BLACK MICA,2400,T,JBA JAKARTA,JAKARTA,AUTOMATIC,24635,<30k,2025-07-22,350000000,VERY_GOOD,""bmpr dpn brt pnyk, kap msn brt, body kanan&kiri brt, bagasi brt, atap brt, bmpr blkg brt|"",toyota,innova,automatic,2024,2.4,all new g a t diesel,350000000,G,"
"1000006479001,HONDA,MOBILIO,MOBILIO E CVT,2017,ABU ABU BAJA METALIK,1500,T,IBID PADANG,PADANG,AUTOMATIC,180949,>100k,2025-08-02,93500000,GOOD,""bmpr dpn brt pnyk, kap msn brt, body kanan&kiri brt, bagasi brt, atap brt, bmpr blkg brt|"",honda,mobilio,automatic,2017,1.5,e cvt,93500000,E,cvt"
"1000008481001,DATSUN,ALL NEW DATSUN,ALL NEW DATSUN GO 1.2 D MT,2019,MERAH METALIK,1200,T,JBA BANDUNG,BANDUNG,MANUAL,52562,30k-60k,2025-11-11,45000000,GOOD,""bmpr dpn brt pnyk, kap msn brt, body kanan&kiri brt, bagasi brt, atap brt, bmpr blkg brt|"",datsun,go,manual,2019,1.2,all new d,45000000,D,"
"1000009526001,HONDA,NEW MOBILIO,NEW MOBILIO S M/T,2021,PUTIH,1500,T,JBA JAKARTA,JAKARTA,MANUAL,66441,60k-100k,2025-03-20,110000000,VERY_GOOD,""bmpr dpn brt pnyk, kap msn brt, body kanan&kiri brt, bagasi brt, atap brt, bmpr blkg brt|"",honda,mobilio,manual,2021,1.5,new s m t,110000000,S,"
"1000010458001,SUZUKI,NEW CARRY,NEW CARRY PU FD,2022,HITAM,1500,T,OTOLINK JAKARTA,JAKARTA,MANUAL,73881,60k-100k,2025-05-14,72000000,GOOD,""bmpr dpn brt pnyk, kap msn brt, body kanan&kiri brt, bagasi brt, atap brt, bmpr blkg brt|"",suzuki,carry,manual,2022,1.5,new pu fd,72000000,Pick Up,flat deck"
"1000010781001,HONDA,ALL NEW BRV,ALL NEW BRV PRESTIGE CVT,2022,PREMIUM OPAL WHITE SILVER PEAR,1500,T,JBA BANDUNG,BANDUNG,AUTOMATIC,28413,<30k,2026-02-10,185000000,GOOD,""bmpr dpn brt pnyk, kap msn brt, body kanan&kiri brt, bagasi brt, atap brt, bmpr blkg brt|"",honda,br v,automatic,2022,1.5,all new prestige cvt,185000000,,""cvt, prestige"""
"1000010797001,SUZUKI,XL 7,XL - 7 ZETA AT,2022,HITAM METALIK,1500,T,TRIBIK JAKARTA,JAKARTA,AUTOMATIC,48080,30k-60k,2025-10-15,149000000,VERY_GOOD,""bmpr dpn brt pnyk, kap msn brt, body kanan&kiri brt, bagasi brt, atap brt, bmpr blkg brt|"",suzuki,xl 7,automatic,2022,1.5,zeta,149000000,zeta,"
"1000011105001,DAIHATSU,ALL NEW TERIOS,ALL NEW TERIOS X AT DLX IDS,2023,PUTIH,1500,T,JBA JAKARTA,JAKARTA,AUTOMATIC,47722,30k-60k,2025-04-10,188000000,VERY_GOOD,""bmpr dpn brt pnyk, kap msn brt, body kanan&kiri brt, bagasi brt, atap brt, bmpr blkg brt|"",daihatsu,terios,automatic,2023,1.5,all new x dlx ids,188000000,X,ids"
"1000011144001,DAIHATSU,ALL NEW XENIA,ALL NEW XENIA 1.3 X M/T,2023,ABU ABU METALIK,1300,T,JBA JAKARTA,JAKARTA,MANUAL,112535,>100k,2025-06-24,112000000,VERY_GOOD,""bmpr dpn brt pnyk, kap msn brt, body kanan&kiri brt, bagasi brt, atap brt, bmpr blkg brt|"",daihatsu,xenia,manual,2023,1.3,all new x m t,112000000,X,"
"1000011166001,DAIHATSU,SIGRA,SIGRA 1.0 M MT MC,2023,COKLAT METALIK,1000,T,IBID JAKARTA,JAKARTA,MANUAL,13340,<30k,2025-05-14,96000000,VERY_GOOD,""bmpr dpn brt pnyk, kap msn brt, body kanan&kiri brt, bagasi brt, atap brt, bmpr blkg brt|"",daihatsu,sigra,manual,2023,1,m mc,96000000,M,"
